Well,main_product_name,main_product_smiles,side_product1_name,side_product1_smiles,side_product2_name,side_product2_smiles
A1,p-tolyl 2-methylbenzoate,CC1=C(C(OC2=CC=C(C)C=C2)=O)C=CC=C1,,,,
A2,p-tolyl 2-methylbenzoate,CC1=C(C(OC2=CC=C(C)C=C2)=O)C=CC=C1,,,,
A3,p-tolyl 2-methylbenzoate,CC1=C(C(OC2=CC=C(C)C=C2)=O)C=CC=C1,,,,
A4,p-tolyl 2-methylbenzoate,CC1=C(C(OC2=CC=C(C)C=C2)=O)C=CC=C1,,,,
A5,p-tolyl 2-methylbenzoate,CC1=C(C(OC2=CC=C(C)C=C2)=O)C=CC=C1,,,,
A6,p-tolyl 2-methylbenzoate,CC1=C(C(OC2=CC=C(C)C=C2)=O)C=CC=C1,,,,
B1,p-tolyl 2-methylbenzoate,CC1=C(C(OC2=CC=C(C)C=C2)=O)C=CC=C1,,,,
B2,p-tolyl 2-methylbenzoate,CC1=C(C(OC2=CC=C(C)C=C2)=O)C=CC=C1,,,,
B3,p-tolyl 2-methylbenzoate,CC1=C(C(OC2=CC=C(C)C=C2)=O)C=CC=C1,,,,
B4,p-tolyl 2-methylbenzoate,CC1=C(C(OC2=CC=C(C)C=C2)=O)C=CC=C1,,,,
B5,p-tolyl 2-methylbenzoate,CC1=C(C(OC2=CC=C(C)C=C2)=O)C=CC=C1,,,,
B6,p-tolyl 2-methylbenzoate,CC1=C(C(OC2=CC=C(C)C=C2)=O)C=CC=C1,,,,
C1,p-tolyl 2-methylbenzoate,CC1=C(C(OC2=CC=C(C)C=C2)=O)C=CC=C1,,,,
C2,p-tolyl 2-methylbenzoate,CC1=C(C(OC2=CC=C(C)C=C2)=O)C=CC=C1,,,,
C3,p-tolyl 2-methylbenzoate,CC1=C(C(OC2=CC=C(C)C=C2)=O)C=CC=C1,,,,
C4,p-tolyl 2-methylbenzoate,CC1=C(C(OC2=CC=C(C)C=C2)=O)C=CC=C1,,,,
C5,p-tolyl 2-methylbenzoate,CC1=C(C(OC2=CC=C(C)C=C2)=O)C=CC=C1,,,,
C6,p-tolyl 2-methylbenzoate,CC1=C(C(OC2=CC=C(C)C=C2)=O)C=CC=C1,,,,
D1,p-tolyl 2-methylbenzoate,CC1=C(C(OC2=CC=C(C)C=C2)=O)C=CC=C1,,,,
D2,p-tolyl 2-methylbenzoate,CC1=C(C(OC2=CC=C(C)C=C2)=O)C=CC=C1,,,,
D3,p-tolyl 2-methylbenzoate,CC1=C(C(OC2=CC=C(C)C=C2)=O)C=CC=C1,,,,
D4,p-tolyl 2-methylbenzoate,CC1=C(C(OC2=CC=C(C)C=C2)=O)C=CC=C1,,,,
D5,p-tolyl 2-methylbenzoate,CC1=C(C(OC2=CC=C(C)C=C2)=O)C=CC=C1,,,,
D6,p-tolyl 2-methylbenzoate,CC1=C(C(OC2=CC=C(C)C=C2)=O)C=CC=C1,,,,
